OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
141,THOR,Platycladus orientalis,Platycladus,orientalis,,Oriental arborvitae,"arborvitae, Oriental",,evergreen,needleleaved,8,no
239,GLTR,Gleditsia triacanthos Inermis,Gleditsia,triacanthos,Inermis,Thornless honeylocust,"honeylocust, Thornless",,deciduous,broadleaved,0,yes
134,PIST,Pinus strobus,Pinus,strobus,,Eastern White pine,"pine, Eastern White",,evergreen,needleleaved,8,no
175,QUBI,Quercus bicolor,Quercus,bicolor,,Swamp White oak,"oak, Swamp White",,deciduous,broadleaved,961,yes
252,ACSA2,Acer saccharum,Acer,saccharum,Fall Fiesta,Fall Fiesta Sugar maple,"maple, Fall Fiesta Sugar",,deciduous,broadleaved,0,yes
2,ABLA,Abies lasiocarpa,Abies,lasiocarpa,,Subalpine fir,"fir, Subalpine",,evergreen,needleleaved,4,no
191,QUGA,Quercus undulata,Quercus,undulata,,Wavy Leaf oak,"oak, Wavy Leaf",,deciduous,broadleaved,2,yes
179,QUIM,Quercus imbricaria,Quercus,imbricaria,,Shingle oak,"oak, Shingle",,deciduous,broadleaved,9,yes
233,ULAM,Ulmus x accolade,Ulmus,x accolade,,Accolade elm,"elm, Accolade",,deciduous,broadleaved,43,yes
234,ULAM,Ulmus x hybrida,Ulmus,x hybrida,,Hybrid elm,"elm, Hybrid",,deciduous,broadleaved,197,yes
231,ULPU,Ulmus pumila,Ulmus,pumila,,Siberian elm,"elm, Siberian",,deciduous,broadleaved,4236,no
86,GLTR,Gleditsia triacanthos,Gleditsia,triacanthos,,Honeylocust,Honeylocust,Common honeylocust,deciduous,broadleaved,3664,yes
132,PI2,Pinus spp,Pinus,spp,,pine unknown species,pine unknown species,,evergreen,needleleaved,69,no
199,SAAL4,Salix alba,Salix,alba,,White willow,"willow, White",,deciduous,broadleaved,13,no
22,AEFL,Aesculus flava,Aesculus,flava,,Yellow buckeye,"buckeye, Yellow",,deciduous,broadleaved,17,yes
39,CA40,Carpinus spp,Carpinus,spp,,hornbeam unknown species,hornbeam unknown species,,deciduous,broadleaved,1,no
11,ACNI,Acer nigrum,Acer,nigrum,,Black maple,"maple, Black",,deciduous,broadleaved,4,no
209,SOAU,Sorbus aucuparia,Sorbus,aucuparia,,European mountain ash,"mountain ash, European",,deciduous,broadleaved,81,yes
238,CA3,Catalpa spp,Catalpa,spp,,catalpa unknown species,catalpa unknown species,,deciduous,broadleaved,0,yes
236,ZESE,Zelkova serrata,Zelkova,serrata,,Japanese zelkova,"zelkova, Japanese",,deciduous,broadleaved,3,no
7,ACGR3,Acer grandidentatum,Acer,grandidentatum,,Bigtooth maple,"maple, Bigtooth",,deciduous,broadleaved,79,yes
207,SEGI,Sequoiadendron giganteum,Sequoiadendron,giganteum,,Giant sequoia,"sequoia, Giant",,evergreen,needleleaved,14,yes
243,MASY2,Malus sylvestris Prairie Fire,Malus,sylvestris,Prairie Fire,Prairie Fire crabapple,"crabapple, Prairie Fire",,deciduous,broadleaved,0,yes
203,SAFR,Salix fragilis,Salix,fragilis,,Crack willow,"willow, Crack",,deciduous,broadleaved,303,no
3,AB,Abies spp,Abies,spp,,fir unknown species,fir unknown species,,evergreen,needleleaved,4,no
105,PYIO,Malus ioensis,Malus,ioensis,,Prairie crabapple,"crabapple, Prairie",,deciduous,broadleaved,86,yes
75,FASY,Fagus sylvatica,Fagus,sylvatica,,European beech,"beech, European",,deciduous,broadleaved,8,no
212,SYRE,Syringa reticulata,Syringa,reticulata,,Japanese lilac tree,"lilac tree, Japanese",,deciduous,broadleaved,123,no
240,PYCA,Pyrus calleryana Chanticleer,Pyrus,calleryana,Chanticleer,Chanticleer pear,"pear, Chanticleer",,deciduous,broadleaved,0,yes
176,QUCO,Quercus coccinea,Quercus,coccinea,,Scarlet oak,"oak, Scarlet",,deciduous,broadleaved,5,no
127,PIHE,Pinus heldreichii,Pinus,heldreichii,,Bosnian pine,"pine, Bosnian",Heldrech pine,evergreen,needleleaved,14,yes
101,MAAM9,Maackia amurensis,Maackia,amurensis,,Amur maackia,"maackia, Amur",,deciduous,broadleaved,3,no
136,PITH,Pinus thunbergiana,Pinus,thunbergiana,,Japanese Black pine,"pine, Japanese Black",,evergreen,needleleaved,3,no
124,PIED,Pinus edulis,Pinus,edulis,,Pinyon pine,"pine, Pinyon",,evergreen,needleleaved,1050,yes
80,FRNI,Fraxinus nigra,Fraxinus,nigra,,Black ash,"ash, Black",,deciduous,broadleaved,1,no
96,LAWA,Laburnum x watereri,Laburnum,x watereri,,Goldenchain tree,Goldenchain tree,,deciduous,broadleaved,2,no
90,JUCH,Juniperus chinensis,Juniperus,chinensis,,Chinese juniper,"juniper, Chinese",,evergreen,needleleaved,5,no
73,FAGR,Fagus grandifolia,Fagus,grandifolia,,American beech,"beech, American",,deciduous,broadleaved,1,no
121,PIAR,Pinus aristata,Pinus,aristata,,Bristlecone pine,"pine, Bristlecone",,evergreen,needleleaved,103,yes
