OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
27,ALIN,Alnus incana,Alnus,incana,,Grey alder,"alder, Grey",,deciduous,broadleaved,1,no
82,FRQU,Fraxinus quadrangulata,Fraxinus,quadrangulata,,Blue ash,"ash, Blue",,deciduous,broadleaved,3,no
102,MA1,Magnolia spp,Magnolia,spp,,magnolia unknown species,magnolia unknown species,,deciduous,broadleaved,3,no
130,PINI,Pinus nigra,Pinus,nigra,,Austrian pine,"pine, Austrian",,evergreen,needleleaved,1808,no
244,MASY2,Malus sylvestris Radiant,Malus,sylvestris,Radiant,Radiant crabapple,"crabapple, Radiant",,deciduous,broadleaved,0,yes
10,ACNE,Acer negundo Variegatum,Acer,negundo,Variegatum,Variegated boxelder,"boxelder, Variegated",,deciduous,broadleaved,2,yes
145,PODE,Populus deltoides,Populus,deltoides,,Eastern cottonwood,"cottonwood, Eastern",,deciduous,broadleaved,122,yes
228,ULPA,Ulmus parvifolia,Ulmus,parvifolia,,Lacebark elm,"elm, Lacebark",Chinese elm,deciduous,broadleaved,15,yes
149,PO,Populus spp,Populus,spp,,cottonwood unknown species,cottonwood unknown species,,deciduous,broadleaved,1575,no
98,LA10,Larix spp,Larix,spp,,larch unknown species,larch unknown species,,deciduous,broadleaved,1,no
142,POAL,Populus alba,Populus,alba,,White poplar,"poplar, White",,deciduous,broadleaved,129,no
35,BE,Betula spp,Betula,spp,,birch unknown species,birch unknown species,,deciduous,broadleaved,15,no
47,CEOC,Celtis occidentalis,Celtis,occidentalis,,Northern hackberry,"hackberry, Northern",,deciduous,broadleaved,1222,yes
51,CECA,Cercis canadensis,Cercis,canadensis,,Eastern redbud,"redbud, Eastern",,deciduous,broadleaved,117,yes
1,ABCO,Abies concolor,Abies,concolor,,White fir,"fir, White",,evergreen,needleleaved,252,yes
12,ACPA,Acer palmatum,Acer,palmatum,,Japanese maple,"maple, Japanese",,deciduous,broadleaved,6,no
214,TADI,Taxodium distichum,Taxodium,distichum,,Baldcypress,Baldcypress,,evergreen,needleleaved,65,yes
152,PR6,Prosopis spp,Prosopis,spp,,mesquite unknown species,mesquite unknown species,,deciduous,broadleaved,4,no
103,MAST,Magnolia stellata,Magnolia,stellata,,Star magnolia,"magnolia, Star",,deciduous,broadleaved,2,no
37,CAAR,Caragana arborescens Pendula,Caragana,arborescens,Pendula,Weeping Siberian peashrub,"peashrub, Weeping Siberian",,deciduous,broadleaved,4,no
107,MA2,Malus spp,Malus,spp,,apple unknown species,apple unknown species,,deciduous,broadleaved,0,no
162,PRSE2,Prunus serrulata,Prunus,serrulata,,Kwanzan cherry,"cherry, Kwanzan",,deciduous,broadleaved,60,yes
26,AIAL,Ailanthus altissima,Ailanthus,altissima,,Tree-of-Heaven,Tree-of-Heaven,,deciduous,broadleaved,333,no
147,PONI,Populus nigra,Populus,nigra,,Lombardy poplar,"poplar, Lombardy",Black poplar,deciduous,broadleaved,21,no
